found_date,serial,mark,applicant,applicant_country,route,international_registration,office_action,office_action_date,filing_date,tsdr_status
2026-09-01,98213432,NFSTATU,"Shuai, Zhang",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213432&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213431,TOYELANG,"Shenzhen Youdezhen Trading Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213431&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213430,WOANGWAN,"Jumai, Ye",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213430&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213428,BKDABIAN,"Jumai, Ye",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213428&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213427,XFARSKE,"Shenzhen Wukexing Network Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213427&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213425,TWIZZTOP,"Shanghai yalijing trading Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213425&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213423,HISEEYO,"Shenzhen Huishengyu Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213423&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213422,CL&SANHA,"Shijiazhuang Sanha Network Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213422&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213418,BAFFARRI,"Chaozhou Baoshili Clothing Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213418&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213415,SUKONCER,"Shenzhen Jiguang Hong Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213415&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213413,MAMIBEBE,"Ningyuan Boluoti E-commerce Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213413&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213411,LING ZE,"Yibo, Wang",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213411&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213408,YITECHOO,"Shangrao Tengchuan E-commerce Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213408&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213407,HONEYLUBE,"Yongbo, Wang",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213407&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213406,PICITTAA,"Baoqing, Yan",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213406&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213405,EVRYYWAA,"Baoqing, Yan",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213405&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213402,FALAFINO,"Shenzhen Qinran Industrial Development Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213402&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,98213401,DWXMN,"Shangqiu Shicai Network Technology Co., Ltd",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2023-10-07,https://tsdr.uspto.gov/#caseNumber=98213401&caseType=SERIAL_NO&searchType=statusSearch
